Epoch : 0 | ACC : 0.3067677514792899
Epoch : 1 | ACC : 0.5305103550295858
Epoch : 2 | ACC : 0.5767011834319526
Epoch : 3 | ACC : 0.5631656804733728
Epoch : 4 | ACC : 0.6051035502958579
Epoch : 5 | ACC : 0.6074704142011834
Epoch : 6 | ACC : 0.6216715976331361
Epoch : 7 | ACC : 0.6176405325443787
Epoch : 8 | ACC : 0.6346153846153846
Epoch : 9 | ACC : 0.6378698224852071
Epoch : 10 | ACC : 0.6347633136094675
Epoch : 11 | ACC : 0.6513313609467456
Epoch : 12 | ACC : 0.6588757396449704
Epoch : 13 | ACC : 0.6677514792899408
Epoch : 14 | ACC : 0.6788461538461539
Epoch : 15 | ACC : 0.6772559171597633
Epoch : 16 | ACC : 0.6841346153846154
Epoch : 17 | ACC : 0.6887573964497041
Epoch : 18 | ACC : 0.6899408284023668
Epoch : 19 | ACC : 0.6923076923076923
Epoch : 20 | ACC : 0.6956730769230769
Epoch : 21 | ACC : 0.6949704142011834
Epoch : 22 | ACC : 0.7024778106508875
Epoch : 23 | ACC : 0.6995562130177515
Epoch : 24 | ACC : 0.7062869822485207
Epoch : 25 | ACC : 0.7053624260355029
Epoch : 26 | ACC : 0.7085059171597633
Epoch : 27 | ACC : 0.7102810650887574
Epoch : 28 | ACC : 0.7119452662721893
Epoch : 29 | ACC : 0.7124260355029586
Epoch : 30 | ACC : 0.7137943786982248
Epoch : 31 | ACC : 0.7129437869822485
Epoch : 32 | ACC : 0.7137204142011835
Epoch : 33 | ACC : 0.7147189349112426
Epoch : 34 | ACC : 0.7152736686390533
Epoch : 35 | ACC : 0.7160872781065089
Epoch : 36 | ACC : 0.7152366863905325
Epoch : 37 | ACC : 0.715569526627219
Epoch : 38 | ACC : 0.7160502958579882
Epoch : 39 | ACC : 0.7157914201183432
Epoch : 40 | ACC : 0.7165310650887574
Epoch : 41 | ACC : 0.717603550295858
Epoch : 42 | ACC : 0.7169378698224852
Epoch : 43 | ACC : 0.7162721893491124
Epoch : 44 | ACC : 0.7170488165680473
Epoch : 45 | ACC : 0.7180473372781065
Epoch : 46 | ACC : 0.7178994082840237
Epoch : 47 | ACC : 0.7185281065088758
Epoch : 48 | ACC : 0.718491124260355
Epoch : 49 | ACC : 0.7186390532544379
Epoch : 50 | ACC : 0.7187869822485207
Epoch : 51 | ACC : 0.7189718934911242
Epoch : 52 | ACC : 0.7185281065088758
Epoch : 53 | ACC : 0.7186020710059171
Epoch : 54 | ACC : 0.7183801775147929
Epoch : 55 | ACC : 0.7183062130177514
Epoch : 56 | ACC : 0.7181213017751479
Epoch : 57 | ACC : 0.7191198224852071
Epoch : 58 | ACC : 0.71875
Epoch : 59 | ACC : 0.7190458579881657
Epoch : 60 | ACC : 0.7188979289940829
Epoch : 61 | ACC : 0.7187869822485207
Epoch : 62 | ACC : 0.7193417159763313
Epoch : 63 | ACC : 0.7195266272189349
Epoch : 64 | ACC : 0.7191198224852071
Epoch : 65 | ACC : 0.7195266272189349
Epoch : 66 | ACC : 0.7190828402366863
Epoch : 67 | ACC : 0.7192307692307692
Epoch : 68 | ACC : 0.7186020710059171
Epoch : 69 | ACC : 0.7191198224852071
Epoch : 70 | ACC : 0.7190458579881657
Epoch : 71 | ACC : 0.7188239644970414
Epoch : 72 | ACC : 0.7192307692307692
Epoch : 73 | ACC : 0.7196005917159763
Epoch : 74 | ACC : 0.7190828402366863
Epoch : 75 | ACC : 0.7191568047337278
Epoch : 76 | ACC : 0.7188979289940829
Epoch : 77 | ACC : 0.7193786982248521
Epoch : 78 | ACC : 0.7193417159763313
Epoch : 79 | ACC : 0.7195266272189349
Epoch : 80 | ACC : 0.7194526627218935
Epoch : 81 | ACC : 0.719637573964497
Epoch : 82 | ACC : 0.7190458579881657
Epoch : 83 | ACC : 0.7194896449704142
Epoch : 84 | ACC : 0.719637573964497
Epoch : 85 | ACC : 0.719637573964497
Epoch : 86 | ACC : 0.7192307692307692
Epoch : 87 | ACC : 0.7196005917159763
Epoch : 88 | ACC : 0.7191198224852071
Epoch : 89 | ACC : 0.7189718934911242
