Epoch : 1 | ACC : 0.04640468227424749
Epoch : 2 | ACC : 0.05677257525083612
Epoch : 3 | ACC : 0.0504180602006689
Epoch : 4 | ACC : 0.054013377926421406
Epoch : 5 | ACC : 0.05301003344481605
Epoch : 6 | ACC : 0.051588628762541805
Epoch : 7 | ACC : 0.04916387959866221
Epoch : 8 | ACC : 0.04958193979933111
Epoch : 9 | ACC : 0.04958193979933111
Epoch : 10 | ACC : 0.051337792642140466
Epoch : 11 | ACC : 0.05125418060200669
Epoch : 12 | ACC : 0.04749163879598662
Epoch : 13 | ACC : 0.09214046822742475
Epoch : 14 | ACC : 0.0855351170568562
Epoch : 15 | ACC : 0.08043478260869565
Epoch : 16 | ACC : 0.08428093645484949
Epoch : 17 | ACC : 0.08528428093645485
Epoch : 18 | ACC : 0.08461538461538462
Epoch : 19 | ACC : 0.08737458193979933
Epoch : 20 | ACC : 0.08444816053511706
Epoch : 21 | ACC : 0.07399665551839466
Epoch : 22 | ACC : 0.0786789297658863
Epoch : 23 | ACC : 0.06488294314381271
Epoch : 24 | ACC : 0.07474916387959867
Epoch : 25 | ACC : 0.0818561872909699
Epoch : 26 | ACC : 0.0770066889632107
Epoch : 27 | ACC : 0.08043478260869565
Epoch : 28 | ACC : 0.08035117056856188
Epoch : 29 | ACC : 0.07918060200668896
Epoch : 30 | ACC : 0.0774247491638796
Epoch : 31 | ACC : 0.08127090301003345
